date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:29	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f4183549b16a808b;gz%22	https://pedidocamillagourmet.delivery/robots.txt		(from )
20:10:30	193874/193874	---M-Z	200	added ('OK')	text/html	etag:%222f552-688284f8-8036350eab8caa84;gz%22	https://pedidocamillagourmet.delivery/	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/index.html	(from )
20:10:32	1306847/1306847	---M--	200	added ('OK')	image/png	etag:%2213f0df-68823ede-55de5ab470cb4a40;;;%22	https://pedidocamillagourmet.delivery/images/logo.png	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/images/logo.png	(from https://pedidocamillagourmet.delivery/)
20:10:32	34653/34653	---M-Z	200	added ('OK')	text/css	etag:%22875d-68823ede-9ac1a7f0867247c0;gz%22	https://pedidocamillagourmet.delivery/css/delivry.css	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/css/delivry.css	(from https://pedidocamillagourmet.delivery/)
20:10:33	13880/13880	---M-Z	200	added ('OK')	application/x-javascript	etag:%223638-68823ede-8edabbe515c208b8;gz%22	https://pedidocamillagourmet.delivery/js/latest_1.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/js/latest_1.js	(from https://pedidocamillagourmet.delivery/)
20:10:35	244208/244208	---M--	200	added ('OK')	image/png	etag:%223b9f0-688284df-586a39e6cfc8422d;;;%22	https://pedidocamillagourmet.delivery/images/fundo2.png	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/images/fundo2.png	(from https://pedidocamillagourmet.delivery/)
20:10:35	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2023:10:35%20GMT	https://pedidocamillagourmet.delivery/J1	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1	(from https://pedidocamillagourmet.delivery/)
20:10:36	18992/18992	---M-Z	200	added ('OK')	text/html	etag:%224a30-6882606d-c6efcd602dd4c86d;gz%22	https://pedidocamillagourmet.delivery/J1/	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1/index.html	(from https://pedidocamillagourmet.delivery/)
20:10:37	220521/220521	---M--	200	added ('OK')	image/png	etag:%2235d69-6882600a-53cf9c79e820b0a6;;;%22	https://pedidocamillagourmet.delivery/images/kit3.png	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/images/kit3.png	(from https://pedidocamillagourmet.delivery/)
20:10:37	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2023:10:37%20GMT	https://pedidocamillagourmet.delivery/J16	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J16	(from https://pedidocamillagourmet.delivery/)
20:10:38	18993/18993	---M-Z	200	added ('OK')	text/html	etag:%224a31-68826135-d2741303bfad0f72;gz%22	https://pedidocamillagourmet.delivery/J16/	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J16/index.html	(from https://pedidocamillagourmet.delivery/)
20:10:39	277921/277921	---M--	200	added ('OK')	image/png	etag:%2243da1-6882600a-97dd0dbdcfd78d90;;;%22	https://pedidocamillagourmet.delivery/images/kit6.png	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/images/kit6.png	(from https://pedidocamillagourmet.delivery/)
20:10:39	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2023:10:39%20GMT	https://pedidocamillagourmet.delivery/J2	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J2	(from https://pedidocamillagourmet.delivery/)
20:10:40	18972/18972	---M-Z	200	added ('OK')	text/html	etag:%224a1c-68829247-4fc1f09e574d0d87;gz%22	https://pedidocamillagourmet.delivery/J2/	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J2/index.html	(from https://pedidocamillagourmet.delivery/)
20:10:41	324394/324394	---M--	200	added ('OK')	image/png	etag:%224f32a-688260a9-5c48b8172d99d6e4;;;%22	https://pedidocamillagourmet.delivery/images/kit4.png	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/images/kit4.png	(from https://pedidocamillagourmet.delivery/)
20:10:41	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2023:10:41%20GMT	https://pedidocamillagourmet.delivery/J3	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J3	(from https://pedidocamillagourmet.delivery/)
20:10:42	18995/18995	---M-Z	200	added ('OK')	text/html	etag:%224a33-6882619e-66f1a544eeb388f;gz%22	https://pedidocamillagourmet.delivery/J3/	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J3/index.html	(from https://pedidocamillagourmet.delivery/)
20:10:43	336064/336064	---M--	200	added ('OK')	image/png	etag:%22520c0-6882600a-7023d7eeebb701c0;;;%22	https://pedidocamillagourmet.delivery/images/kit16.png	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/images/kit16.png	(from https://pedidocamillagourmet.delivery/)
20:10:43	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2024%20Jul%202025%2023:10:43%20GMT	https://pedidocamillagourmet.delivery/J10	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J10	(from https://pedidocamillagourmet.delivery/)
20:10:44	21873/21873	---M-Z	200	added ('OK')	text/html	etag:%225571-6882541f-75f261c144230cb4;gz%22	https://pedidocamillagourmet.delivery/J10/	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J10/index.html	(from https://pedidocamillagourmet.delivery/)
20:10:44	87533/87533	---M-Z	200	added ('OK')	application/x-javascript	etag:%22155ed-68823ede-61bee1f04c7f84b0;gz%22	https://pedidocamillagourmet.delivery/js/jquery.min.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/js/jquery.min.js	(from https://pedidocamillagourmet.delivery/)
20:10:45	43923/43923	---M-Z	200	added ('OK')	application/x-javascript	etag:%22ab93-68823ede-9b8e55033e8807b8;gz%22	https://pedidocamillagourmet.delivery/js/delivry.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/js/delivry.js	(from https://pedidocamillagourmet.delivery/)
20:10:47	40818/40818	---M-Z	200	added ('OK')	application/x-javascript	etag:%229f72-68823ede-c626578bc8387099;gz%22	https://pedidocamillagourmet.delivery/js/sweetalert.min.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/js/sweetalert.min.js	(from https://pedidocamillagourmet.delivery/)
20:10:48	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-f4183549b16a808b;gz%22	https://pedidocamillagourmet.delivery/wa.html	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/wa.html	(from https://pedidocamillagourmet.delivery/js/latest_1.js)
20:10:48	1464945/1464945	---M-Z	200	added ('OK')	application/x-javascript	etag:%22165a71-68823ede-b372885cf7249d51;gz%22	https://pedidocamillagourmet.delivery/js/all.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/js/all.js	(from https://pedidocamillagourmet.delivery/)
20:10:49	34653/34653	---M-Z	200	added ('OK')	text/css	etag:%22875d-68823ede-c93c88f532e924a7;gz%22	https://pedidocamillagourmet.delivery/J1/css/delivry.css	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1/css/delivry.css	(from https://pedidocamillagourmet.delivery/J1/)
20:10:50	12083/12083	---M-Z	200	added ('OK')	application/x-javascript	etag:%222f33-68823ede-92ea66568f5c8c1b;gz%22	https://pedidocamillagourmet.delivery/J1/js/latest_1.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1/js/latest_1.js	(from https://pedidocamillagourmet.delivery/J1/)
20:10:51	93432/93432	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216cf8-68823ede-dd5d62dc6fe60138;gz%22	https://pedidocamillagourmet.delivery/J1/js/jquery.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1/js/jquery.js	(from https://pedidocamillagourmet.delivery/J1/)
20:10:52	46829/46829	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b6ed-68823ede-8f784958e70f6712;gz%22	https://pedidocamillagourmet.delivery/J1/js/deliveryProduto.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1/js/deliveryProduto.js	(from https://pedidocamillagourmet.delivery/J1/)
20:10:54	1464905/1464905	---M-Z	200	added ('OK')	application/x-javascript	etag:%22165a49-68823ede-b92b98d29ca7d94f;gz%22	https://pedidocamillagourmet.delivery/J1/js/all.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1/js/all.js	(from https://pedidocamillagourmet.delivery/J1/)
20:10:54	4730/4730	---M-Z	200	added ('OK')	application/x-javascript	etag:%22127a-68823ede-c054de59d402b36d;gz%22	https://pedidocamillagourmet.delivery/J1/js/jquery-mask.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1/js/jquery-mask.js	(from https://pedidocamillagourmet.delivery/J1/)
20:10:55	40808/40808	---M-Z	200	added ('OK')	application/x-javascript	etag:%229f68-68823ede-2621dd8e3d541950;gz%22	https://pedidocamillagourmet.delivery/J1/js/sweetalert.min.js	/Users/guga/Desktop/camilla_site_clonado/pedidocamillagourmet.delivery/J1/js/sweetalert.min.js	(from https://pedidocamillagourmet.delivery/J1/)
